huEE7BBB,18,18,Hazel,same
hu79E3C7,17,17,,
huE9E383,21,21,hazel,same
huCB1DEA,21,21,Brown,same
hu0878AF,16,16,"hazel; brown inner ring, greenish outer ring",same
huF629AC,14,14,Hazel,same
hu283211,,,,
hu5CCE61,21,21,dark brown,same
huFD37C8,18,18,brown with green flecks,brown with green flecks
hu57C9FD,21,21,Brown,same
hu36A660,1,1,grey,grey
hu75FDE0,13,13,green with flecks with darker ring,same
huB6623D,11,11,Blue with a yellow ring around the iris,same
hu7D97DF,22,22,dark brown color without spots without freckling,"dark brown color without spot, without freckling"
hu50B3F5,2,2,Blue with a ring of yellow around the pupil,same
huABC594,4,4,Blue,Blue
hu014EFA,21,21,Dark brown,Dark brown
hu519DE2,13,13,hazel,hazel
huADF414,,,Hazel,same
hu0E1D27,16,16,Hazel,same
huAD1375,13,13,Blue,Blue
hu2E179F,21,21,Dark brown,Dark brown
huC70CEE,2,3,blue-gray sometimes brown in center,blue-gray sometimes brown in center
huC70CEE,2,3,"blue-gray, sometimes brown in middle","blue-gray, sometimes brown in middle"
hu7A2F1D,4,4,blue,blue
hu94040B,7,7,blue,blue
hu888B13,17,17,Brown,Brown
hu1A8107,2,2,blue-grey,same
hu1A8107,2,2,blue-grey,same
hu21C2A6,2,2,light blue green,light blue green
hu46B1A0,19,19,brown with grey outer ring,same
huC92BC9,20,20,brown,Same
hu3438DF,21,21,dark brown,dark brown
hu87223B,20,20,solid brown,same
hu4BCE3C,18,18,Haxel,Hazel
huC73C2D,11,11,Blue with Brown around the Iris,Blue witha little Brown around the Iris
hu9FCAF7,13,13,Grey,Same
huDAA62E,11,11,"blue-green, slight brownish ring near pupil",same
hu20C798,11,11,a light hazel/green,same
hu96959E,23,23,brown,same
hu48AC54,6,6,Denium blue with radial pattern; yellow/green near pupil,same
hu0DEE68,,,,
huFF6AB4,8,8,"hazel mostly green today,  blue some days",same
hu01EECF,15,15,Hazel,Same
huA3177D,9,6,Blue with small brown ring,blue with brown specks
huD80EF3,8,8,,
hu75F3D7,16,15,hazel,hazel
huD37BAD,11,10,green with yellow ring,same
hu648431,14,14,"green, light brown flecks",same
hu2419F7,9,9,green,green
huF194C8,17,17,"brown but has green/hazel flecks, which seem to be more prominent during certain hormonal phases,  and dark grey exterior ring",same
hu1C6DA9,4,4,Blue Steel,Blue Steel
huFB87DF,21,21,,
huC2279C,6,6,Blue,Blue
hu0B4653,4,3,Blue with lighter flecks and a darker ring,same
hu1EF4CF,5,5,grey/blue,same
hu82AAD7,21,21,dark brown,same
huE6E6C9,18,18,brown with hints of amber,brown with hints of amber
huB828CB,16,16,Brown,same
hu96B7C3,16,16,"brown, very dark ring around pupil","brown, very dark ring around pupil"
hu979849,18,18,hazel,same
huE81731,,,hazel,hazel
hu02C8E3,13,13,green-gray with some brown around iris,"green-gray with some brown around iris, one brown fleck"
hu3269F6,3,3,Blue,Same
huF99A55,22,22,dark brown,dark brown
huE18D82,13,13,Hazel with thin blue ring,Same
hu4A9989,21,21,brown,brown
hu9EDB77,8,8,"""Hazy Blue""","""Hazy Blue"""
hu7E6BE8,11,11,Green with slight brown around pupil,Same
huD636DC,22,22,,
huD0127A,2,2,blue with tint of green,blue with tint of green
huD0127A,2,2,blue with tint of green,blue with tint of green
hu4F3DB4,8,8,Hazel,Same 
